Unnamed: 0.1,Unnamed: 0,timestamp,id,x,y,datetime
578,578,1706538420,6,14,2,2024-01-29 14:27
579,579,1706538420,7,15,22,2024-01-29 14:27
580,580,1706538421,6,16,20,2024-01-29 14:27
581,581,1706538421,7,19,19,2024-01-29 14:27
582,582,1706538422,6,18,3,2024-01-29 14:27
582,582,1706538422,7,22,18,2024-01-29 14:27
584,584,1706538423,6,16,8,2024-01-29 14:27
586,586,1706538424,6,15,6,2024-01-29 14:27
582,582,1706538424,7,24,20,2024-01-29 14:27
588,588,1706538425,6,14,4.5,2024-01-29 14:27
582,582,1706538425,7,26,18,2024-01-29 14:27
590,590,1706538426,6,17,4.5,2024-01-29 14:27
592,592,1706538427,6,17.5,5,2024-01-29 14:27
594,594,1706538428,6,20.5,2,2024-01-29 14:27
582,582,1706538428,7,18.5,11.5,2024-01-29 14:27
596,596,1706538429,6,23,5,2024-01-29 14:27
582,582,1706538429,7,20,15,2024-01-29 14:27
598,598,1706538430,6,27,10,2024-01-29 14:27
582,582,1706538430,7,21,18,2024-01-29 14:27
602,602,1706538432,6,28,15,2024-01-29 14:27
582,582,1706538432,7,25,25,2024-01-29 14:27
604,604,1706538433,6,26,14,2024-01-29 14:27
582,582,1706538433,7,24,27,2024-01-29 14:27
608,608,1706538435,6,24,11,2024-01-29 14:27
582,582,1706538435,7,23.8,30,2024-01-29 14:27
612,612,1706538437,6,20,9,2024-01-29 14:27
582,582,1706538437,7,22.8,28.6,2024-01-29 14:27
618,618,1706538440,6,13,16,2024-01-29 14:27
582,582,1706538440,7,23.5,27.5,2024-01-29 14:27
622,622,1706538442,6,3,17,2024-01-29 14:27
582,582,1706538442,7,23,27,2024-01-29 14:27
626,626,1706538444,6,3,21,2024-01-29 14:27
582,582,1706538444,7,23.8,27.6,2024-01-29 14:27
630,630,1706538446,6,14,18,2024-01-29 14:27
582,582,1706538446,7,21.8,24.6,2024-01-29 14:27
632,632,1706538447,6,16,21,2024-01-29 14:27
582,582,1706538446,7,17.8,22.6,2024-01-29 14:27
634,634,1706538448,6,17,18,2024-01-29 14:27
582,582,1706538448,7,16.8,16.6,2024-01-29 14:27
638,638,1706538450,6,18,15,2024-01-29 14:27
582,582,1706538450,7,24,12,2024-01-29 14:27
582,582,1706538452,7,22,11,2024-01-29 14:27
644,644,1706538453,6,28,25,2024-01-29 14:27
582,582,1706538453,7,23,12,2024-01-29 14:27
582,582,1706538455,7,28,13,2024-01-29 14:27
670,670,1706538456,6,22,17,2024-01-29 14:27
670,670,1706538456,6,22,17,2024-01-29 14:27
582,582,1706538457,7,29,10,2024-01-29 14:27
582,582,1706538458,7,28,8,2024-01-29 14:27
582,582,1706538459,7,27,10,2024-01-29 14:27
582,582,1706538461,7,17,13,2024-01-29 14:27
582,582,1706538462,7,15,15,2024-01-29 14:27
582,582,1706538463,7,15,18,2024-01-29 14:27
684,684,1706538463,6,4,28,2024-01-29 14:27
688,688,1706538465,6,11,25.6,2024-01-29 14:27
582,582,1706538465,7,15,23,2024-01-29 14:27
582,582,1706538466,7,15.5,21.5,2024-01-29 14:27
582,582,1706538468,7,18,14,2024-01-29 14:27
696,696,1706538469,6,8,9,2024-01-29 14:27
698,698,1706538470,6,6.5,5,2024-01-29 14:27
582,582,1706538470,7,20,11,2024-01-29 14:27
582,582,1706538471,7,24,14.7,2024-01-29 14:27
706,706,1706538474,6,2,35,2024-01-29 14:27
582,582,1706538474,7,18,26,2024-01-29 14:27
582,582,1706538475,7,21,28,2024-01-29 14:27
582,582,1706538477,7,28,32,2024-01-29 14:27
582,582,1706538478,7,26.5,30,2024-01-29 14:27
582,582,1706538480,7,20,26,2024-01-29 14:27
720,720,1706538481,6,4,28,2024-01-29 14:28
582,582,1706538481,7,15,24,2024-01-29 14:27
582,582,1706538482,6,10,20,2024-01-29 14:27
582,582,1706538482,7,13,24,2024-01-29 14:27
582,582,1706538483,6,16,16,2024-01-29 14:27
582,582,1706538484,7,10.3,23,2024-01-29 14:27
582,582,1706538485,7,6.3,26,2024-01-29 14:27
582,582,1706538486,7,8,28,2024-01-29 14:27
720,720,1706538487,6,25,13,2024-01-29 14:28
722,722,1706538488,6,23,15,2024-01-29 14:28
582,582,1706538488,7,10,26,2024-01-29 14:27
582,582,1706538489,7,13,23,2024-01-29 14:27
582,582,1706538490,7,13,21,2024-01-29 14:27
730,730,1706538492,6,12,5,2024-01-29 14:28
582,582,1706538492,7,16,23,2024-01-29 14:27
